2016-07-05 12:01:54.861 INFO com.fernuni.searchengine.FileWatcher.WatchDir : Scanning /Users/Nut/Documents/internship/testsubjects ...
2016-07-05 12:01:54.879 INFO com.fernuni.searchengine.FileWatcher.WatchDir : Done.
2016-07-05 12:01:55.860 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship
2016-07-05 12:01:55.863 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj
2016-07-05 12:01:55.869 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo
2016-07-05 12:01:55.871 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.gradle
2016-07-05 12:01:55.873 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.gradle/2.12
2016-07-05 12:01:55.877 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.gradle/2.12/taskArtifacts
2016-07-05 12:01:55.881 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.idea
2016-07-05 12:01:55.885 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.idea/copyright
2016-07-05 12:01:55.897 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.idea/libraries
2016-07-05 12:01:55.902 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/.idea/modules
2016-07-05 12:01:55.909 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build
2016-07-05 12:01:55.911 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes
2016-07-05 12:01:55.913 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes/main
2016-07-05 12:01:55.915 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes/main/com
2016-07-05 12:01:55.916 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes/main/com/example
2016-07-05 12:01:55.918 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes/test
2016-07-05 12:01:55.919 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes/test/com
2016-07-05 12:01:55.926 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/classes/test/com/example
2016-07-05 12:01:55.932 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/dependency-cache
2016-07-05 12:01:55.935 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/libs
2016-07-05 12:01:55.936 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/reports
2016-07-05 12:01:55.938 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/reports/tests
2016-07-05 12:01:55.940 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/reports/tests/classes
2016-07-05 12:01:55.942 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/reports/tests/css
2016-07-05 12:01:55.946 INFO com.fernuni.searchengine.FileWatcher.WatchDir : register: /Users/Nut/Documents/internship/IdeaProj/demo/build/reports/tests/js
